Model(SKU),Product Family/Collection,Product Category,Product Type,Product Title,Price US,Price CAN
SLC-9610-1.5,Bath,Centerset Faucets|Lavatory Faucets|Two Handle Faucets,Transitional,Symmons Origins® Two Handle Centerset Lavatory Faucet - Finish Product,60.25,66.3
SLC-9610-STN-1.5,Bath,Centerset Faucets|Lavatory Faucets|Two Handle Faucets,Transitional,Symmons Origins® Two Handle Centerset Lavatory Faucet - Finish Product,82.35,95.8
S-9601-P,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Shower System - Finish Product,221.2,235.5
S-9601-PLR,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Shower System - Finish Product,237.2,255.3
S-9601-PLR-STN,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Shower System - Finish Product,277.9,297.85
S-9602-P,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower System - Finish Product,232.95,248.4
S-9602-PLR,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower System - Finish Product,251,268.4
S-9602-PLR-STN,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower System - Finish Product,294.4,316
S-9603-PLR,Bath,Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Hand Shower System - Finish Product,488.7,529.7
S-9603-PLR-STN,Bath,Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Hand Shower System - Finish Product,627.15,682
S-9604-PLR,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Hand Shower System - Finish Product,503.5,546.05
S-9604-PLR-STN,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Hand Shower System - Finish Product,647.9,704.85
S-9606-PLR,Bath,Tub Shower Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower/Hand Shower System - Finish Product,740.3,806.55
S-9606-PLR-STN,Bath,Tub Shower Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower/Hand Shower System - Finish Product,901.3,1015.1
S-9600-P,Bath,Shower Valves|Shower and Tub Shower,Transitional,Symmons Origins® Shower Valve and Trim - Finish Product,204.1,216.7
S-9600TS-P,Bath,Tub Shower Valves|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower Valve and Trim - Finish Product,204.1,216.7
S-9600-PLR,Bath,Shower Valves|Shower and Tub Shower,Transitional,Symmons Origins® Shower Valve and Trim - Finish Product,222.15,216.7
S-9600-PLR-STN,Bath,Shower Valves|Shower and Tub Shower,Transitional,Symmons Origins® Shower Valve and Trim - Finish Product,247.55,264.45
S-9600TS-PLR,Bath,Tub Shower Valves|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower Valve and Trim - Finish Product,222.15,216.7
S-9600TS-PLR-STN,Bath,Tub Shower Valves|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower Valve and Trim - Finish Product,247.55,264.45
9601-P,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Shower System - Finish Product,113,132.3
9601-PLR,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Shower System - Finish Product,131.05,152.1
9601-PLR-STN,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Shower System - Finish Product,152.2,175.4
9602-P,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower System - Finish Product,118.3,138.1
9602-PLR,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower System - Finish Product,134.3,155.65
9602-PLR-STN,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower System - Finish Product,156.75,180.4
9603-PLR,Bath,Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Hand Shower System - Finish Product,341.95,384.1
9603-PLR-STN,Bath,Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Hand Shower System - Finish Product,447.45,500.15
