Model(SKU),Product Family/Collection,Product Category,Product Type,Product Title,Price US,Price CAN
S-5202-STN,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Ballinaå¨ Tub/Shower System + - Finish Product,$896.15 ,$954.10 
S-5204,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Ballinaå¨ Tub/Hand Shower System,$822.25 ,$875.20 
S-5204,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Ballinaå¨ Tub/Hand Shower System + - Finish Product,$822.25 ,$875.20 
S-5204-BBZ,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Ballinaå¨ Tub/Hand Shower System + - Finish Product,"$1,148.00 ","$1,223.15 "
S-5204-STN,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Ballinaå¨ Tub/Hand Shower System + - Finish Product,"$1,148.00 ","$1,223.15 "
S-5300,Bath,Shower Valves|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Shower Valve and Trim,$421.25 ,$483.20 
S-5300,Bath,Shower Valves|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Shower Valve and Trim + - Finish Product,$421.25 ,$483.20 
S-5300-BLK,Bath,Shower Valves|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Shower Valve and Trim + - Finish Product,$545.30 ,$575.60 
S-5300-STN,Bath,Shower Valves|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Shower Valve and Trim + - Finish Product,$545.30 ,$575.60 
S-5300TS,Bath,Tub Shower Valves|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Tub/Shower Valve and Trim,$421.25 ,$483.20 
S-5300TS,Bath,Tub Shower Valves|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Tub/Shower Valve and Trim + - Finish Product,$421.25 ,$483.20 
S-5300TS-BLK,Bath,Tub Shower Valves|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Tub/Shower Valve and Trim + - Finish Product,$545.30 ,$575.60 
S-5300TS-STN,Bath,Tub Shower Valves|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Tub/Shower Valve and Trim + - Finish Product,$545.30 ,$575.60 
S-5301,Bath,Shower Systems|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Shower System,$490.15 ,$516.65 
S-5301,Bath,Shower Systems|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Shower System + - Finish Product,$490.15 ,$516.65 
S-5301-BLK,Bath,Shower Systems|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Shower System + - Finish Product,$658.95 ,$696.70 
S-5301-STN,Bath,Shower Systems|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Shower System + - Finish Product,$658.95 ,$696.70 
S-5302,Bath,Tub Shower Systems|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Tub/Shower System,$640.50 ,$677.20 
S-5302,Bath,Tub Shower Systems|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Tub/Shower System + - Finish Product,$640.50 ,$677.20 
S-5302-BLK,Bath,Tub Shower Systems|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Tub/Shower System + - Finish Product,$862.00 ,$913.45 
S-5302-STN,Bath,Tub Shower Systems|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Tub/Shower System + - Finish Product,$862.00 ,$913.45 
S-5304,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Tub/Hand Shower System,$803.45 ,$850.95 
S-5304,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Tub/Hand Shower System + - Finish Product,$803.45 ,$850.95 
S-5304-BLK,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Tub/Hand Shower System + - Finish Product,"$1,121.65 ","$1,190.85 "
S-5304-STN,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Contemporary,Symmons Museoå¨ Tub/Hand Shower System + - Finish Product,"$1,121.65 ","$1,190.85 "
S-5400,Bath,Shower Valves|Shower and Tub Shower,Transitional,Symmons Degaså¨ Shower Valve and Trim,$465.00 ,$489.80 
S-5400,Bath,Shower Valves|Shower and Tub Shower,Transitional,Symmons Degaså¨ Shower Valve and Trim + - Finish Product,$465.00 ,$489.80 
S-5400-ORB,Bath,Shower Valves|Shower and Tub Shower,Transitional,Symmons Degaså¨ Shower Valve and Trim + - Finish Product,$602.30 ,$636.20 
S-5400-STN,Bath,Shower Valves|Shower and Tub Shower,Transitional,Symmons Degaså¨ Shower Valve and Trim + - Finish Product,$602.30 ,$636.20 
S-5400TS,Bath,Tub Shower Valves|Shower and Tub Shower,Transitional,Symmons Degaså¨ Tub/Shower Valve and Trim,$465.00 ,$489.80 
S-5400TS,Bath,Tub Shower Valves|Shower and Tub Shower,Transitional,Symmons Degaså¨ Tub/Shower Valve and Trim + - Finish Product,$465.00 ,$489.80 
S-5400TS-ORB,Bath,Tub Shower Valves|Shower and Tub Shower,Transitional,Symmons Degaså¨ Tub/Shower Valve and Trim + - Finish Product,$602.30 ,$636.20 
S-5400TS-STN,Bath,Tub Shower Valves|Shower and Tub Shower,Transitional,Symmons Degaså¨ Tub/Shower Valve and Trim + - Finish Product,$602.30 ,$636.20 
S-5401,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Degaså¨ Shower System,$540.25 ,$570.10 
S-5401,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Degaså¨ Shower System + - Finish Product,$540.25 ,$570.10 
S-5401-ORB,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Degaså¨ Shower System + - Finish Product,$726.60 ,$769.20 
S-5401-STN,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Degaså¨ Shower System + - Finish Product,$726.60 ,$769.20 
S-5402,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Degaså¨ Tub/Shower System,$684.35 ,$724.00 
S-5402,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Degaså¨ Tub/Shower System + - Finish Product,$684.35 ,$724.00 
S-5402-ORB,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Degaså¨ Tub/Shower System + - Finish Product,$921.20 ,$976.90 
S-5402-STN,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Degaså¨ Tub/Shower System + - Finish Product,$921.20 ,$976.90 
S-5404,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Degaså¨ Tub/Hand Shower System,$840.95 ,$891.05 
S-5404,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Degaså¨ Tub/Hand Shower System + - Finish Product,$840.95 ,$891.05 
S-5404-ORB,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Degaså¨ Tub/Hand Shower System + - Finish Product,"$1,174.35 ","$1,246.95 "
S-5404-STN,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Degaså¨ Tub/Hand Shower System + - Finish Product,"$1,174.35 ","$1,246.95 "
S-5500,Bath,Shower Valves|Shower and Tub Shower,Transitional,Symmons Elmå¨ Shower Valve and Trim,$222.60 ,$245.10 
S-5500,Bath,Shower Valves|Shower and Tub Shower,Transitional,Symmons Elmå¨ Shower Valve and Trim + - Finish Product,$222.60 ,$245.10 
S-5500-SBZ,Bath,Shower Valves|Shower and Tub Shower,Transitional,Symmons Elmå¨ Shower Valve and Trim + - Finish Product,$284.45 ,$313.10 
S-5500-STN,Bath,Shower Valves|Shower and Tub Shower,Transitional,Symmons Elmå¨ Shower Valve and Trim + - Finish Product,$284.45 ,$313.10 
S-5500TS,Bath,Tub Shower Valves,Transitional,Symmons Elmå¨ Tub/Shower Valve and Trim,$222.60 ,$245.10 
S-5500TS,Bath,Tub Shower Valves,Transitional,Symmons Elmå¨ Tub/Shower Valve and Trim + - Finish Product,$222.60 ,$245.10 
S-5500TS-SBZ,Bath,Tub Shower Valves,Transitional,Symmons Elmå¨ Tub/Shower Valve and Trim + - Finish Product,$284.45 ,$313.10 
S-5500TS-STN,Bath,Tub Shower Valves,Transitional,Symmons Elmå¨ Tub/Shower Valve and Trim + - Finish Product,$284.45 ,$313.10 
S-5501,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Elmå¨ Shower System,$267.55 ,$294.55 
S-5501,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Elmå¨ Shower System + - Finish Product,$267.55 ,$294.55 
S-5501-SBZ,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Elmå¨ Shower System + - Finish Product,$351.95 ,$403.80 
S-5501-STN,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Elmå¨ Shower System + - Finish Product,$351.95 ,$403.80 
S-5502,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Elmå¨ Tub/Shower System,$289.00 ,$318.10 
S-5502,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Elmå¨ Tub/Shower System + - Finish Product,$289.00 ,$318.10 
S-5502-SBZ,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Elmå¨ Tub/Shower System + - Finish Product,$390.15 ,$429.40 
S-5502-STN,Bath,Tub Shower Systems|Shower and Tub Shower,Transitional,Symmons Elmå¨ Tub/Shower System + - Finish Product,$390.15 ,$429.40 
S-5504,Bath,Tub Hand Shower Systems,Transitional,Symmons Elmå¨ Tub/Hand Shower System,$445.30 ,$482.65 
S-5504,Bath,Tub Hand Shower Systems,Transitional,Symmons Elmå¨ Tub/Hand Shower System + - Finish Product,$445.30 ,$482.65 
S-5504-SBZ,Bath,Tub Hand Shower Systems,Transitional,Symmons Elmå¨ Tub/Hand Shower System + - Finish Product,$598.35 ,$650.80 
S-5504-STN,Bath,Tub Hand Shower Systems,Transitional,Symmons Elmå¨ Tub/Hand Shower System + - Finish Product,$598.35 ,$650.80 
S-6060,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet,$490.90 ,$558.70 
S-6060,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet + - Finish Product,$490.90 ,$558.70 
S-6060-AC-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet ,$601.60 ,$679.20 
S-6060-AC-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet  + - Finish Product,$601.60 ,$679.20 
S-6060-AC-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$627.85 ,$707.20 
S-6060-AC-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$627.85 ,$707.20 
S-6060-ACM-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$490.90 ,$609.70 
S-6060-ACM-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$490.90 ,$609.70 
S-6060-ACM-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$517.15 ,$637.70 
